index,current
889,2.83
890,2.84
891,2.8
892,2.82
893,2.85
894,2.81
895,2.79
896,2.8
897,2.83
898,2.86
899,2.78
900,2.77
901,2.76
902,2.78
903,2.77
904,2.73
905,2.82
906,2.78
907,2.75
908,2.67
909,2.78
910,2.78
911,2.83
912,2.86
913,2.83
914,2.84
915,2.81
916,2.82
917,2.81
918,2.8
919,2.78
920,2.78
921,2.77
922,2.76
923,2.82
924,2.85
925,2.84
926,2.83
927,2.79
928,2.79
929,2.84
930,2.85
931,2.82
932,2.81
933,2.8
934,2.77
935,2.84
936,2.78
937,2.77
938,2.77
939,2.84
940,2.85
941,2.79
942,2.92
943,2.79
944,2.84
945,2.76
946,2.78
947,2.79
948,2.89
949,2.82
950,2.89
951,2.83
952,2.88
953,2.86
954,2.89
955,2.83
956,2.84
957,2.8
958,2.85
959,2.77
960,2.74
961,2.78
962,2.74
963,2.75
964,2.75
965,2.79
966,2.76
967,2.74
968,2.84
969,2.8
970,2.79
971,2.83
972,2.77
973,2.76
974,2.76
975,2.73
976,2.82
977,2.76
978,2.87
979,2.86
980,2.82
981,2.86
982,2.82
983,2.76
984,2.8
985,2.78
986,2.82
987,2.78
988,2.7
989,2.8
990,2.8
991,2.84
992,2.84
993,2.78
994,2.79
995,2.79
996,2.88
997,2.83
998,2.85
999,2.85
1000,2.84
1001,2.83
1002,2.81
1003,2.82
1004,2.82
1005,2.82
1006,2.86
1007,2.76
1008,2.6
1009,2.87
1010,2.83
1011,2.87
1012,2.88
1013,2.87
1014,2.87
1015,2.87
1016,2.79
1017,2.82
1018,2.82
1019,2.78
1020,2.78
1021,2.8
1022,2.84
1023,2.82
1024,2.79
1025,2.78
1026,2.78
1027,2.82
1028,2.75
1029,2.87
1030,2.71
1031,2.74
1032,2.76
1033,2.77
1034,2.75
1035,2.77
1036,2.79
1037,2.81
1038,2.75
1039,2.75
1040,2.75
1041,2.75
1042,2.86
1043,2.83
1044,2.83
1045,2.84
1046,2.81
1047,2.76
1048,2.8
1049,2.77
1050,2.75
1051,2.74
1052,2.8
1053,2.72
1054,2.71
1055,2.72
1056,2.74
1057,2.74
1058,2.78
1059,2.7
1060,2.75
1065,2.75
1067,2.76
1069,2.79
1070,2.78
1071,2.76
1073,2.75
1074,2.72
1075,2.71
1077,2.81
1078,2.83
1079,2.8
1080,2.84
1081,2.77
1082,2.76
1083,2.81
1087,2.78
1088,2.79
1095,2.8
1096,2.76
1098,2.77
1099,2.76
1100,2.75
1101,2.72
1103,2.77
1104,2.76
1105,2.75
1106,2.74
1107,2.73
1108,2.85
1109,2.76
1110,2.78
1111,2.75
1112,2.75
1113,2.76
1114,2.76
1115,2.75
1116,2.73
1117,2.74
1118,2.77
1119,2.73
1120,2.73
1121,2.82
1122,2.8
1123,2.82
1124,2.8
1125,2.76
1126,2.8
1127,2.78
1128,2.8
1129,2.75
1130,2.76
1131,2.81
1132,2.76
1133,2.78
1134,2.8
1135,2.77
1136,2.74
1137,2.78
1138,2.74
1139,2.74
1140,2.78
1141,2.86
1142,2.75
1143,2.8
1145,2.79
1149,2.81
1150,2.79
1151,2.76
