index,speed
3665,2470
3666,2487
3667,2482
3668,2470
3669,2482
3670,2482
3671,2482
3672,2476
3673,2482
3674,2470
3675,2482
3676,2476
3677,2487
3678,2476
3679,2493
3680,2482
3681,2482
3682,2470
3683,2470
3684,2482
3685,2482
3686,2482
3687,2487
3688,2482
3689,2487
3690,2482
3691,2482
3692,2476
3693,2470
3694,2476
3695,2476
3696,2476
3697,2487
3698,2482
3699,2476
3700,2487
3701,2482
3702,2470
3703,2487
3704,2482
3705,2482
3706,2487
3707,2482
3708,2493
3709,2487
3710,2482
3711,2482
3712,2470
3713,2482
3714,2482
3715,2482
3716,2487
3717,2476
3718,2476
3719,2476
3720,2482
3721,2476
3722,2476
3723,2470
3724,2487
3725,2476
3726,2476
3727,2476
3728,2470
3729,2487
3730,2482
3731,2476
3732,2482
3733,2482
3734,2482
3735,2482
3736,2482
3737,2476
3738,2487
3739,2476
3740,2476
3741,2482
3742,2465
3743,2487
3744,2476
3745,2467
3746,2470
3747,2482
3748,2482
3749,2470
3750,2482
3751,2476
3752,2482
3753,2482
3754,2476
3755,2476
3756,2487
3757,2476
3758,2482
3759,2470
3760,2470
3761,2482
3762,2487
3763,2476
3764,2487
3765,2487
3766,2487
3767,2482
3768,2476
3769,2493
3770,2479
3771,2470
3772,2482
3773,2465
3774,2476
3775,2470
3776,2470
3777,2470
3778,2476
3779,2476
3780,2476
3781,2482
3782,2476
3783,2476
3784,2482
3785,2476
3786,2470
3787,2482
3788,2482
3789,2476
3790,2482
3791,2476
3792,2476
3793,2470
3794,2470
3795,2476
3796,2482
3797,2470
3798,2476
3799,2482
3800,2470
3801,2476
3802,2470
3803,2470
3804,2470
3805,2482
3806,2476
3807,2487
3808,2470
3809,2476
3810,2487
3811,2470
3812,2487
3813,2482
3814,2482
3815,2476
3816,2482
3817,2476
3818,2482
3819,2482
3820,2476
3821,2493
3822,2476
3823,2482
3824,2476
3825,2482
3826,2482
3827,2470
3828,2470
3829,2470
3830,2482
3831,2476
3832,2470
3833,2487
3834,2476
3835,2482
3836,2476
3837,2487
3838,2470
3839,2482
3840,2482
3841,2476
3842,2476
3843,2476
3844,2476
3845,2487
3846,2476
3847,2476
3848,2476
3849,2482
3850,2482
3851,2476
3852,2470
3853,2470
3854,2470
3855,2482
3856,2482
3857,2476
3858,2470
3859,2487
3860,2482
3861,2470
3862,2476
3863,2465
3864,2473
3865,2493
3866,2487
3867,2476
3868,2470
3869,2482
3870,2482
3871,2487
3872,2482
3873,2476
3874,2470
3875,2493
3876,2493
3877,2490
3878,2482
3879,2487
3880,2482
3881,2482
3882,2476
3883,2482
3884,2482
3885,2476
3886,2482
3887,2482
3888,2482
3889,2476
3890,2487
3891,2476
3892,2482
3893,2487
3894,2490
3895,2482
3896,2470
3897,2482
3898,2482
3899,2482
3900,2476
3901,2476
3902,2499
3903,2470
3904,2482
