Commanded Current, Current, Commanded Velocity, Velocity, Electrical Angle, Position Error, 
266, 302, 33298, 33608, 657, 544, 
335, 260, 33602, 33594, 800, 161, 
323, 326, 33586, 33519, 943, -698, 
368, 333, 33682, 33580, 62, -1041, 
253, 353, 33346, 33532, 206, -265, 
327, 277, 33442, 33532, 349, -942, 
388, 375, 33762, 33580, 492, 986, 
403, 392, 33746, 33505, 636, 1433, 
363, 341, 33474, 33532, 779, -577, 
397, 385, 33586, 33540, 923, -770, 
454, 482, 33794, 33567, 42, 396, 
347, 428, 33602, 33512, 185, 1339, 
294, 317, 33298, 33553, 329, -593, 
406, 320, 34082, 33574, 472, 1148, 
348, 345, 33554, 33491, 616, -563, 
247, 347, 33186, 33560, 759, -454, 
304, 322, 33570, 33553, 902, 55, 
303, 351, 33410, 33519, 21, -1098, 
440, 244, 34114, 33560, 165, 27, 
335, 338, 33730, 33574, 308, 755, 
403, 379, 33842, 33567, 451, 283, 
282, 366, 32946, 33601, 595, -1068, 
350, 427, 33554, 33567, 738, 737, 
390, 424, 33698, 33519, 882, 632, 
464, 415, 33842, 33546, 1, 669, 
279, 341, 33026, 33601, 144, 339, 
361, 311, 33634, 33574, 288, 526, 
326, 339, 33698, 33519, 431, 723, 
342, 376, 33570, 33574, 575, -261, 
303, 334, 33538, 33553, 718, 438, 
317, 283, 33602, 33519, 861, -714, 
405, 324, 34034, 33567, 1005, 305, 
329, 317, 33650, 33546, 124, 665, 
280, 259, 33266, 33560, 267, -667, 
369, 363, 33746, 33553, 410, -663, 
431, 449, 33842, 33519, 554, -141, 
375, 361, 33618, 33574, 697, -81, 
412, 379, 33858, 33546, 841, 1385, 
410, 428, 33730, 33553, 984, 911, 
372, 358, 33266, 33519, 103, -671, 
318, 358, 33330, 33553, 247, -224, 
381, 316, 33890, 33560, 390, 829, 
364, 407, 33794, 33540, 534, 985, 
279, 292, 33250, 33553, 677, -492, 
198, 296, 32946, 33601, 820, -1130, 
310, 311, 33474, 33532, 964, -620, 
332, 405, 33586, 33526, 83, -931, 
329, 354, 33746, 33574, 226, 408, 
362, 299, 33650, 33526, 369, -978, 
402, 420, 33858, 33574, 513, 521, 
381, 280, 33570, 33594, 656, 326, 
392, 352, 33714, 33546, 800, 177, 
330, 374, 33234, 33560, 943, -1323, 
408, 431, 33490, 33574, 62, -100, 
279, 331, 33138, 33567, 206, -497, 
269, 282, 33282, 33567, 349, 50, 
293, 365, 33586, 33587, 493, 806, 
356, 244, 33602, 33580, 636, -236, 
364, 267, 33714, 33532, 779, -572, 
390, 346, 34082, 33574, 923, 1370, 
319, 335, 33458, 33580, 42, 342, 
334, 297, 33618, 33560, 185, 291, 
330, 358, 33682, 33580, 328, 895, 
295, 404, 33330, 33526, 472, -334, 
306, 300, 32978, 33560, 615, -1142, 
389, 416, 33746, 33546, 759, 843, 
395, 390, 33698, 33580, 902, 61, 
508, 482, 34162, 33485, 21, 1157, 
334, 401, 33458, 33526, 165, 865, 
271, 266, 33186, 33574, 308, -995, 
293, 323, 33586, 33540, 452, 128, 
303, 323, 33314, 33532, 595, -1855, 
328, 339, 33746, 33567, 738, 864, 
268, 323, 33458, 33532, 882, -258, 
384, 385, 33970, 33512, 1, 391, 
312, 314, 33650, 33580, 144, 1855, 
302, 365, 33602, 33519, 287, 771, 
267, 353, 33154, 33540, 431, -991, 
367, 350, 33378, 33574, 574, -1669, 
426, 350, 33842, 33512, 718, 131, 
388, 421, 33746, 33526, 861, 635, 
524, 375, 34162, 33560, 1004, 505, 
355, 333, 33330, 33553, 124, 997, 
299, 289, 33250, 33526, 267, -1748, 
346, 331, 33826, 33532, 411, 200, 
432, 357, 34114, 33574, 554, 970, 
353, 304, 33810, 33526, 697, 201, 
221, 284, 33218, 33580, 841, -359, 
354, 301, 33826, 33574, 984, 434, 
372, 261, 33682, 33519, 103, -473, 
268, 332, 33394, 33580, 246, 175, 
362, 374, 33842, 33594, 390, 1727, 
423, 408, 33858, 33546, 533, 469, 
338, 455, 33682, 33546, 677, 1740, 
314, 354, 33346, 33587, 820, -654, 
485, 412, 34114, 33505, 963, 195, 
350, 438, 33298, 33540, 83, -704, 
395, 388, 33938, 33560, 226, 1577, 
261, 281, 33282, 33560, 370, -807, 
308, 355, 33586, 33532, 513, 116, 
306, 328, 33538, 33580, 656, 976, 
299, 320, 33650, 33546, 800, 892, 
309, 334, 33618, 33540, 943, 40, 
288, 298, 33266, 33601, 62, -1430, 
278, 375, 33554, 33491, 206, -406, 
395, 330, 33986, 33540, 349, 393, 
429, 377, 34050, 33587, 492, 1981, 
316, 380, 33346, 33553, 636, 1190, 
379, 296, 33506, 33560, 779, -1105, 
343, 385, 33410, 33574, 922, -76, 
397, 341, 33330, 33574, 42, -1430, 
366, 357, 33618, 33512, 185, -31, 
328, 282, 33570, 33532, 329, 121, 
371, 276, 33938, 33574, 472, 758, 
309, 339, 33474, 33485, 615, -430, 
275, 327, 33474, 33567, 759, 447, 
350, 293, 33858, 33553, 902, -641, 
366, 348, 33842, 33505, 21, -793, 
332, 248, 33698, 33580, 165, 971, 
208, 339, 33154, 33574, 308, -686, 
360, 295, 33554, 33567, 451, -1324, 
311, 376, 33186, 33553, 595, -1370, 
274, 374, 33250, 33587, 738, -54, 
380, 377, 33714, 33540, 881, 149, 
456, 459, 34002, 33540, 1, 610, 
256, 317, 32962, 33594, 144, 251, 
380, 348, 33906, 33560, 288, 1221, 
306, 279, 33554, 33512, 431, -950, 
332, 288, 33458, 33580, 575, -1588, 
262, 287, 33314, 33560, 718, -999, 
267, 273, 33458, 33567, 861, -123, 
389, 338, 34098, 33540, 1004, 1756, 
249, 311, 33298, 33540, 124, 901, 
305, 341, 33602, 33560, 267, -211, 
383, 370, 33906, 33532, 410, -92, 
391, 360, 33570, 33546, 554, -1044, 
369, 290, 33586, 33574, 697, -595, 
334, 414, 33586, 33574, 840, 768, 
319, 402, 33282, 33567, 984, 310, 
361, 348, 33266, 33512, 103, -1051, 
374, 340, 33794, 33560, 247, 628, 
315, 302, 33682, 33574, 390, 972, 
352, 373, 33810, 33505, 534, 319, 
300, 385, 33746, 33512, 677, 660, 
321, 293, 33730, 33526, 820, -116, 
308, 282, 33554, 33546, 963, -291, 
247, 329, 33170, 33540, 83, -1795, 
293, 350, 33714, 33553, 226, 1008, 
308, 345, 33618, 33526, 369, -52, 
339, 433, 33714, 33587, 513, 989, 
345, 251, 33458, 33587, 656, 106, 
419, 348, 33970, 33519, 799, 851, 
405, 398, 33762, 33540, 943, 146, 
345, 403, 33282, 33580, 62, -478, 
367, 272, 33586, 33540, 206, -73, 
287, 314, 33554, 33540, 349, 1289, 
310, 381, 33842, 33574, 493, 1765, 
217, 201, 32866, 33594, 636, -947, 
207, 233, 32962, 33560, 779, -2613, 
293, 325, 33650, 33580, 922, 716, 
333, 431, 33810, 33553, 42, 966, 
308, 310, 33650, 33532, 185, 71, 
301, 324, 33538, 33567, 328, 344, 
393, 410, 33906, 33491, 472, 386, 
345, 304, 33234, 33532, 615, -1039, 
407, 372, 33858, 33560, 758, 414, 
401, 389, 33778, 33574, 902, 614, 
377, 424, 33442, 33553, 21, -705, 
359, 279, 33458, 33560, 165, -608, 
231, 309, 33106, 33594, 308, -287, 
327, 345, 33794, 33526, 452, 921, 
373, 335, 33746, 33560, 595, 60, 
210, 313, 33122, 33580, 738, -389, 
291, 319, 33618, 33553, 881, 151, 
358, 336, 33826, 33519, 1, 183, 
290, 221, 33346, 33567, 144, -348, 
281, 333, 33474, 33546, 287, 37, 
344, 303, 33474, 33587, 431, -724, 
348, 336, 33250, 33574, 574, -1593, 
370, 316, 33522, 33526, 717, -523, 
392, 317, 33682, 33553, 861, 430, 
421, 377, 33730, 33574, 1004, 185, 
294, 414, 33186, 33553, 124, 961, 
286, 317, 33218, 33498, 267, -1550, 
263, 313, 33378, 33574, 411, -409, 
275, 319, 33218, 33567, 554, -845, 
368, 299, 33826, 33526, 697, 339, 
333, 306, 33778, 33560, 841, 843, 
291, 333, 33522, 33567, 984, -35, 
293, 253, 33202, 33546, 103, -917, 
263, 296, 33282, 33567, 246, -1592, 
448, 336, 34130, 33546, 390, 1025, 
406, 461, 33810, 33553, 533, 1275, 
334, 459, 33634, 33532, 676, 1704, 
303, 335, 33282, 33567, 820, 81, 
379, 349, 33442, 33560, 963, -1190, 
314, 416, 33090, 33574, 83, -970, 
380, 396, 33858, 33519, 226, 1692, 
408, 287, 34050, 33519, 370, 1197, 
377, 379, 33986, 33540, 513, 1323, 
332, 346, 33826, 33574, 656, 1789, 
304, 304, 33634, 33526, 800, 1020, 
315, 331, 33666, 33526, 943, -690, 
309, 339, 33442, 33567, 62, -1542, 
263, 348, 33474, 33532, 205, -142, 
342, 362, 33746, 33553, 349, 359, 
425, 337, 33890, 33553, 492, 326, 
303, 289, 33090, 33546, 635, -886, 
346, 325, 33394, 33532, 779, -566, 
371, 419, 33666, 33574, 922, 32, 
439, 429, 33682, 33553, 42, -130, 
310, 335, 33282, 33560, 185, -482, 
293, 234, 33346, 33622, 329, 220, 
298, 293, 33570, 33587, 472, -36, 
284, 308, 33298, 33512, 615, -1223, 
273, 229, 33298, 33615, 759, -482, 
278, 247, 33426, 33601, 902, -169, 
261, 279, 33218, 33567, 21, -2074, 
346, 293, 33874, 33580, 164, 2039, 
267, 321, 33362, 33574, 308, 65, 
333, 317, 33458, 33560, 451, -1358, 
317, 327, 33106, 33560, 594, -1843, 
296, 374, 33346, 33567, 738, 292, 
367, 393, 33666, 33553, 881, 501, 
421, 487, 33874, 33540, 1, 1432, 
310, 379, 33378, 33580, 144, 1787, 
305, 296, 33426, 33560, 288, 573, 
264, 292, 33410, 33546, 431, -226, 
317, 352, 33522, 33587, 574, -47, 
364, 315, 33890, 33540, 718, 986, 
302, 250, 33506, 33532, 861, -442, 
422, 309, 34178, 33546, 1004, 594, 
